kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun_ajaran,jumlah_murid,jumlah_guru,ratio,level,indeks pendidikan
32,JAWA BARAT,3215,Karawang,2017,112656,,,sd,57.69
32,JAWA BARAT,3216,Bekasi,2017,242702,,,sd,64.48
32,JAWA BARAT,3217,Bandung Barat,2017,232858,,,sd,58.55
32,JAWA BARAT,3218,Pangandaran,2017,141722,,,sd,57.98
32,JAWA BARAT,3271,Kota Bogor,2017,36125,,,sd,71.44
32,JAWA BARAT,3272,Kota Sukabumi,2017,64204,,,sd,68.93
32,JAWA BARAT,3273,Kota Bandung,2017,106932,,,sd,73.91
32,JAWA BARAT,3274,Kota Cirebon,2017,169018,,,sd,69.27
32,JAWA BARAT,3275,Kota Bekasi,2017,229854,,,sd,73.96
32,JAWA BARAT,3276,Kota Depok,2017,51946,,,sd,74.66
32,JAWA BARAT,3277,Kota Cimahi,2017,257210,,,sd,74.66
32,JAWA BARAT,3278,Kota Tasikmalaya,2017,15833,,,sd,67.35
32,JAWA BARAT,3279,Kota Banjar,2017,33482,,,sd,65.27
32,JAWA BARAT,3201,Bogor,2018,520803,,,sd,60.82
32,JAWA BARAT,3202,Sukabumi,2018,231061,,,sd,56.56
32,JAWA BARAT,3203,Cianjur,2018,240594,,,sd,56.16
32,JAWA BARAT,3204,Bandung,2018,366582,,,sd,63.71
32,JAWA BARAT,3205,Garut,2018,277816,,,sd,57.78
32,JAWA BARAT,3206,Tasikmalaya,2018,160608,,,sd,58.43
32,JAWA BARAT,3207,Ciamis,2018,93180,,,sd,63.31
32,JAWA BARAT,3208,Kuningan,2018,102081,,,sd,58.06
32,JAWA BARAT,3209,Cirebon,2018,200248,,,sd,56.01
32,JAWA BARAT,3210,Majalengka,2018,112024,,,sd,56.89
32,JAWA BARAT,3211,Sumedang,2018,103276,,,sd,63.18
32,JAWA BARAT,3212,Indramayu,2018,159307,,,sd,53.88
32,JAWA BARAT,3213,Subang,2018,140406,,,sd,55.24
32,JAWA BARAT,3214,Purwakarta,2018,98781,,,sd,59.42
32,JAWA BARAT,3215,Karawang,2018,225847,,,sd,58.03
32,JAWA BARAT,3216,Bekasi,2018,311033,,,sd,65.72
32,JAWA BARAT,3217,Bandung Barat,2018,157533,,,sd,59.43
32,JAWA BARAT,3218,Pangandaran,2018,32694,,,sd,58.71
32,JAWA BARAT,3271,Kota Bogor,2018,106272,,,sd,71.5
32,JAWA BARAT,3272,Kota Sukabumi,2018,32857,,,sd,68.99
32,JAWA BARAT,3273,Kota Bandung,2018,225848,,,sd,74.82
32,JAWA BARAT,3274,Kota Cirebon,2018,35555,,,sd,69.33
32,JAWA BARAT,3275,Kota Bekasi,2018,252939,,,sd,75.19
32,JAWA BARAT,3276,Kota Depok,2018,168983,,,sd,74.78
32,JAWA BARAT,3277,Kota Cimahi,2018,51811,,,sd,74.72
32,JAWA BARAT,3278,Kota Tasikmalaya,2018,64290,,,sd,67.41
32,JAWA BARAT,3279,Kota Banjar,2018,15832,,,sd,65.33
32,JAWA BARAT,3201,Bogor,2019,532036,,,sd,62.27
32,JAWA BARAT,3202,Sukabumi,2019,234147,,,sd,57.34
32,JAWA BARAT,3203,Cianjur,2019,245471,,,sd,56.51
32,JAWA BARAT,3204,Bandung,2019,370712,,,sd,64.52
32,JAWA BARAT,3205,Garut,2019,277972,,,sd,57.87
32,JAWA BARAT,3206,Tasikmalaya,2019,161286,,,sd,58.68
32,JAWA BARAT,3207,Ciamis,2019,92669,,,sd,63.94
32,JAWA BARAT,3208,Kuningan,2019,102147,,,sd,58.21
32,JAWA BARAT,3209,Cirebon,2019,201588,,,sd,56.37
32,JAWA BARAT,3210,Majalengka,2019,113086,,,sd,57.55
32,JAWA BARAT,3211,Sumedang,2019,104243,,,sd,63.57
32,JAWA BARAT,3212,Indramayu,2019,162672,,,sd,53.97
32,JAWA BARAT,3213,Subang,2019,141511,,,sd,55.31
32,JAWA BARAT,3214,Purwakarta,2019,99927,,,sd,60.01
32,JAWA BARAT,3215,Karawang,2019,231277,,,sd,59.06
32,JAWA BARAT,3216,Bekasi,2019,317640,,,sd,65.8
32,JAWA BARAT,3217,Bandung Barat,2019,159616,,,sd,60.21
32,JAWA BARAT,3218,Pangandaran,2019,32950,,,sd,59.07
32,JAWA BARAT,3271,Kota Bogor,2019,106347,,,sd,71.62
32,JAWA BARAT,3272,Kota Sukabumi,2019,33491,,,sd,69.32
32,JAWA BARAT,3273,Kota Bandung,2019,224219,,,sd,75.22
32,JAWA BARAT,3274,Kota Cirebon,2019,35409,,,sd,69.42
32,JAWA BARAT,3275,Kota Bekasi,2019,250416,,,sd,75.86
32,JAWA BARAT,3276,Kota Depok,2019,168289,,,sd,75.31
32,JAWA BARAT,3277,Kota Cimahi,2019,51053,,,sd,74.81
32,JAWA BARAT,3278,Kota Tasikmalaya,2019,64854,,,sd,67.77
32,JAWA BARAT,3279,Kota Banjar,2019,15766,,,sd,65.46
32,JAWA BARAT,3201,Bogor,2015,61153,2950,20.72983051,sma,58.68
32,JAWA BARAT,3202,Sukabumi,2015,59843,2353,25.43263918,sma,55.41
32,JAWA BARAT,3203,Cianjur,2015,36226,3832,9.453549061,sma,54.66
